HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Avg_DY23_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
J1944,"Injection, aripiprazole lauroxil, (aristada), 1 mg",Aristada,Aripiprazole Lauroxil,176896.86,72171.0,115,65,2.4510795195,1538.2335652,2721.4901538,0,845101.37,360055.0,607,163,2.3471452139,1392.2592586,5184.6709816,0,1076315.73,444119.0,835,210,2.4234849894,1289.0008743,5125.313,0,1357076.27,496231.0,925,213,2.7347672153,1467.1094811,6371.2500939,0,1424750.44,512010.0,944,205,2.7826613543,1509.2695339,6950.0021463,0,3.03225,0.0175130588,0.0322282457
Q4222,"Progenamatrix, per square centimeter","Progenamatrix, per square centimeter",,,,,,,,,,,,,,,,,,184324.96,1033.0,64,14,178.43655373,2880.0775,13166.068571,0,735267.51,4046.0,312,59,181.72701681,2356.6266346,12462.161186,0,1369530.68,11749.0,623,146,116.56572304,2198.2835955,9380.3471233,0,112.448,-0.358566904,-0.191754086
Q4101,"Apligraf, per square centimeter",Apligraf,"Cult Skin Subst,human-Bovine",2043977.73,67754.0,1565,536,30.167631874,1306.0560575,3813.3912873,0,1754014.94,57899.0,1379,500,30.294390922,1271.9470196,3508.02988,0,1472151.72,48103.0,1129,408,30.604156082,1303.9430647,3608.215,0,1692734.34,56550.0,1312,441,29.93341008,1290.1938567,3838.3998639,0,1355742.28,45365.0,1056,347,29.885204012,1283.8468561,3907.0382709,0,30.3775,-0.001610444,-0.002348749
J0598,"Injection, c-1 esterase inhibitor (human), cinryze, 10 units",Cinryze,C1 Esterase Inhibitor,888936.92,20311.0,97,,43.766280341,9164.2981443,,0,1171758.99,25101.0,57,,46.681765268,20557.175263,,0,1154542.09,25890.0,103,,44.594132484,11209.146505,,0,1293919.51,24700.0,157,,52.385405263,8241.5255414,,1,1353393.23,22650.0,152,,59.752460486,8903.9028289,,0,60.724,0.1406318265,0.0809460998
J0597,"Injection, c-1 esterase inhibitor (human), berinert, 10 units",Berinert,C1 Esterase Inhibitor,1185766.38,26203.0,268,60,45.253077129,4424.5014179,19762.773,0,1460967.66,31298.0,200,50,46.679265768,7304.8383,29219.3532,0,1404323.47,30039.0,137,65,46.750007324,10250.536277,21604.976462,0,1081418.38,19726.0,122,71,54.821980128,8864.085082,15231.244789,0,1342420.34,21767.0,140,53,61.672271788,9588.7167143,25328.68566,0,62.588,0.1249552031,0.0804643894
J1611,"Injection, glucagon hydrochloride (fresenius kabi), not therapeutically equivalent to j1610, per 1 mg",Glucagon Emergency Kit*,Glucagon HCL*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308309.4,10602.0,9622,9222,123.40213167,135.97062981,141.86829321,0,130.80663707,,
J7644,"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Ipratropium Bromide,Ipratropium Bromide,2170375.61,10969319.5,274735,96625,0.1978587286,7.8998875644,22.461843312,0,1874032.36,9207463.0,204709,58121,0.2035340636,9.1546163579,32.243635863,0,1395121.75,6949642.0,149238,40016,0.2007472831,9.3483010359,34.864098111,0,1109103.67,5519166.5,127229,40060,0.2009549214,8.7173810216,27.686062656,0,1276040.77,5035385.5,126931,44916,0.2534147127,10.053026999,28.409492608,0,0.25925,0.2610525337,0.0638224544
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone*,Ceftriaxone In Is-Osm Dextrose*,2272160.59,3953528.0,1014796,626243,0.5747172121,2.2390318744,3.6282410981,0,1487511.69,2558712.9,624122,390523,0.581351542,2.3833668578,3.8090245389,0,1304779.61,2404745.2,575680,362193,0.5425853891,2.266501546,3.6024429241,0,1212129.76,2402882.9,592301,380554,0.5044481194,2.0464759641,3.1851715131,0,1249318.43,2410783.4,602935,386775,0.518220936,2.0720615489,3.2300909573,0,0.52075,0.0273027415,-0.025537373
A9581,"Injection, gadoxetate disodium, 1 ml",Eovist,Gadoxetate Disodium,1105363.99,78385.0,8007,6350,14.101728519,138.04970526,174.07306929,0,998811.68,70522.6,7255,5723,14.163001364,137.67218194,174.52589201,0,1117690.95,78478.8,8032,6385,14.241947507,139.15474975,175.04948316,0,1152164.77,81051.4,8327,6618,14.215235887,138.36492975,174.09561348,0,1199615.49,85004.2,8683,6881,14.112426092,138.15679949,174.33737683,0,14.735,-0.007232366,0.0001895961
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Magnevist*,Gadopentetate Dimeglumine*,1906414.64,1201016.4,79224,72324,1.5873343944,24.063599919,26.359363973,0,1440140.22,953183.4,60961,53933,1.5108742137,23.623959909,26.702394082,0,1464069.64,952748.0,60941,54418,1.5366808852,24.024378333,26.904142747,0,1313795.36,852292.9,54382,49029,1.5414834032,24.158643669,26.796291175,0,1193540.42,778919.9,52447,47221,1.5323018708,22.757077049,25.275627793,0,1.5655,-0.005956297,-0.008782465
